Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2020,2,San Juan,69521.0,256.0,69777.0
2020,2,San Luis,113804.0,148.0,113952.0
2020,2,Santa Cruz,38672.0,197.0,38869.0
2020,2,Santa Fe,777795.0,137.0,777932.0
2020,2,Santiago Del Estero,105446.0,1.0,105447.0
2020,2,Tierra Del Fuego,38900.0,289.0,39189.0
2020,2,Tucumán,217134.0,22.0,217156.0
2020,1,Buenos Aires,3702985.0,5.066,3708051.0
2020,1,Capital Federal,1352104.0,1.39,1353494.0
2020,1,Catamarca,39634.0,1.0,39635.0
2020,1,Chaco,120274.0,3.0,120277.0
2020,1,Chubut,95938.0,800.0,96738.0
2020,1,Córdoba,811044.0,55.0,811099.0
2020,1,Corrientes,113967.0,3.0,113970.0
2020,1,Entre Ríos,231833.0,13.0,231846.0
2020,1,Formosa,46434.0,0.0,46434.0
2020,1,Jujuy,91665.0,0.0,91665.0
2020,1,La Pampa,89110.0,116.0,89226.0
2020,1,La Rioja,48337.0,3.0,48340.0
2020,1,Mendoza,182837.0,615.0,183452.0
2020,1,Misiones,133552.0,0.0,133552.0
2020,1,Neuquén,121354.0,373.0,121727.0
2020,1,Río Negro,125699.0,501.0,126200.0
2020,1,Salta,170379.0,2.0,170381.0
2020,1,San Juan,63975.0,256.0,64231.0
2020,1,San Luis,110404.0,148.0,110552.0
2020,1,Santa Cruz,38625.0,197.0,38822.0
2020,1,Santa Fe,770981.0,137.0,771118.0
2020,1,Santiago Del Estero,102754.0,1.0,102755.0
2020,1,Tierra Del Fuego,38505.0,289.0,38794.0
2020,1,Tucumán,200045.0,22.0,200067.0
2019,4,Buenos Aires,3681120.0,5.134,3686254.0
2019,4,Capital Federal,1356695.0,1.41,1358105.0
2019,4,Catamarca,38310.0,1.0,38311.0
2019,4,Chaco,117900.0,3.0,117903.0
2019,4,Chubut,95292.0,810.0,96102.0
2019,4,Córdoba,806633.0,55.0,806688.0
2019,4,Corrientes,113831.0,3.0,113834.0
2019,4,Entre Ríos,239017.0,13.0,239030.0
2019,4,Formosa,46711.0,0.0,46711.0
2019,4,Jujuy,88881.0,0.0,88881.0
2019,4,La Pampa,90280.0,119.0,90399.0
2019,4,La Rioja,48999.0,3.0,49002.0
2019,4,Mendoza,185157.0,623.0,185780.0
2019,4,Misiones,135813.0,0.0,135813.0
2019,4,Neuquén,116069.0,376.0,116445.0
2019,4,Río Negro,126636.0,504.0,127140.0
2019,4,Salta,172443.0,2.0,172445.0
2019,4,San Juan,64715.0,259.0,64974.0
2019,4,San Luis,108053.0,148.0,108201.0
2019,4,Santa Cruz,39170.0,200.0,39370.0
2019,4,Santa Fe,769019.0,150.0,769169.0
2019,4,Santiago Del Estero,103587.0,1.0,103588.0
2019,4,Tierra Del Fuego,40101.0,291.0,40392.0
2019,4,Tucumán,198621.0,23.0,198644.0
2019,3,Buenos Aires,3950114.0,10.119,3960233.0
2019,3,Capital Federal,1437734.0,3.477,1441211.0
2019,3,Catamarca,32391.0,9.0,32400.0
2019,3,Chaco,114438.0,13.0,114451.0
2019,3,Chubut,87481.0,1.524,89005.0
2019,3,Córdoba,782946.0,107.0,783053.0
2019,3,Corrientes,112749.0,10.0,112759.0
2019,3,Entre Ríos,238057.0,45.0,238102.0
2019,3,Formosa,46066.0,0.0,46066.0
2019,3,Jujuy,86575.0,1.0,86576.0
2019,3,La Pampa,90559.0,269.0,90828.0
2019,3,La Rioja,49659.0,18.0,49677.0
2019,3,Mendoza,223015.0,1.322,224337.0
2019,3,Misiones,133883.0,0.0,133883.0
2019,3,Neuquén,123435.0,1.986,125421.0
2019,3,Río Negro,143391.0,904.0,144295.0
2019,3,Salta,151834.0,1.0,151835.0
2019,3,San Juan,72535.0,563.0,73098.0
2019,3,San Luis,122409.0,291.0,122700.0
2019,3,Santa Cruz,37642.0,328.0,37970.0
2019,3,Santa Fe,760706.0,228.0,760934.0
2019,3,Santiago Del Estero,133130.0,2.0,133132.0
2019,3,Tierra Del Fuego,48043.0,544.0,48587.0
2019,3,Tucumán,164099.0,32.0,164131.0
2019,2,Buenos Aires,3845594.0,10.104,3855698.0
2019,2,Capital Federal,1412177.0,3.443,1415620.0
2019,2,Catamarca,33626.0,9.0,33635.0
2019,2,Chaco,108721.0,13.0,108734.0
2019,2,Chubut,86038.0,1.518,87556.0
2019,2,Córdoba,775023.0,105.0,775128.0
2019,2,Corrientes,111539.0,10.0,111549.0
2019,2,Entre Ríos,235780.0,44.0,235824.0
2019,2,Formosa,46438.0,0.0,46438.0
2019,2,Jujuy,86706.0,1.0,86707.0
2019,2,La Pampa,89937.0,268.0,90205.0
2019,2,La Rioja,50283.0,18.0,50301.0
2019,2,Mendoza,222535.0,1.322,223857.0
